japonais	4	01 42 96 08 38	14 rue moliere	1	takara	4.5	palais royal musee du louvre
italien	2	01 42 61 59 20	16 rue des halles	1	gemini	4.0	chatelet les halles
italien	2	01 42 33 21 15	44 rue coquilliere	1	olio pane vino	4.5	bourse
viandes	3	01 42 33 12 99	31 rue berger	1	le louchebem	4.0	chatelet les halles
francais  friterie  burger	2	01 81 63 08 63	40 place du marche saint-honore	1	big fernand	4.0	place vendome
cafes	2	01 45 08 07 08	29 rue coquilliere	1	l'imprimerie	4.0	1er
francais	3	01 42 33 56 17	31 rue coquilliere	1	le louis	4.0	bourse
francais  bars a vins  cuisine europeenne moderne	2	01 42 36 07 56	15 rue montmartre	1	le cochon a l'oreille	4.0	chatelet les halles
francais	2	01 42 33 36 19	28 rue montorgueil	1	aux tonneaux des halles	4.0	chatelet les halles
francais	2	01 43 29 01 22	4 rue bertin poiree	1	l'auberge cafe	4.0	chatelet les halles
francais	3	01 42 60 14 36	11 rue chevalier de saint-george	1	chez monsieur	4.5	concorde madeleine
francais	3	01 42 96 47 54	17 rue des petits champs	1	le comptoir des petits champs	4.0	palais royal musee du louvre
viandes  grec  pizza	2	01 42 92 04 15	16 rue du louvre	1	chez alexandre	4.0	chatelet les halles
francais	3	09 61 27 60 02	19 place dauphine	1	le caveau du palais	4.5	1er
francais  fondue et raclette	2	01 45 08 44 69	98 rue saint-honore	1	restaurant a l'auberge du louvre	4.0	chatelet les halles
francais	2	01 42 61 17 67	3 rue danielle casanova	1	boco	4.0	palais royal musee du louvre
francais	3	01 42 36 21 82	5 rue prouvaires	1	la tour de montlhery ou chez denise	4.0	chatelet les halles
creperies  desserts	2	01 42 96 00 02	2-4 rue de l'Echelle	1	creperie framboise louvre saint-honore	3.5	palais royal musee du louvre
francais	2	01 45 08 93 14	3 rue louvre	1	le relais du louvre	4.0	chatelet les halles
patisseries  bistrot	2	01 40 28 44 74	30 rue de montorgueil	1	les artizans	5.0	chatelet les halles
francais	4	01 42 96 56 27	17 rue de beaujolais	1	le grand vefour	4.5	palais royal musee du louvre
